Date,Time,sensor,status
2023/10/26,15:35:31,1,0.5
2023/10/26,15:35:27,1,1
2023/10/26,15:35:25,1,0.5
2023/10/26,15:35:20,103,0.5
2023/10/26,15:35:11,2,0.5
2023/10/26,15:35:10,41,0.5
2023/10/26,15:35:09,1,1
2023/10/26,15:35:09,100,1
2023/10/26,15:35:08,27,0.5
2023/10/26,15:35:08,2,1
2023/10/26,15:35:07,22,0.5
2023/10/26,15:35:05,21,0.5
2023/10/26,15:35:05,24,0.5
2023/10/26,15:35:04,25,0.5
2023/10/26,15:35:03,27,1
2023/10/26,15:35:02,41,1
2023/10/26,15:35:02,23,0.5
2023/10/26,15:35:01,21,1
2023/10/26,15:35:01,24,1
2023/10/26,15:35:01,22,1
2023/10/26,15:35:00,25,1
2023/10/26,15:35:00,23,1
2023/10/26,15:34:58,25,0.5
2023/10/26,15:34:58,22,0.5
2023/10/26,15:34:57,23,0.5
2023/10/26,15:34:54,22,1
2023/10/26,15:34:51,22,0.5
2023/10/26,15:34:45,22,1
2023/10/26,15:34:43,24,0.5
2023/10/26,15:34:41,25,1
2023/10/26,15:34:40,24,1
2023/10/26,15:34:38,25,0.5
2023/10/26,15:34:38,24,0.5
2023/10/26,15:34:33,104,0.5
2023/10/26,15:34:33,24,1
2023/10/26,15:34:32,23,1
2023/10/26,15:34:30,24,0.5
2023/10/26,15:34:30,23,0.5
2023/10/26,15:34:29,22,0.5
2023/10/26,15:34:27,24,1
2023/10/26,15:34:27,41,0.5
2023/10/26,15:34:26,25,1
2023/10/26,15:34:25,23,1
2023/10/26,15:34:25,22,1
2023/10/26,15:34:24,31,0.5
2023/10/26,15:34:24,103,1
2023/10/26,15:34:21,46,0.5
2023/10/26,15:34:21,42,0.5
2023/10/26,15:34:19,46,1
2023/10/26,15:34:19,31,1
2023/10/26,15:34:17,41,1
2023/10/26,15:34:17,44,0.5
2023/10/26,15:34:16,43,0.5
2023/10/26,15:34:14,42,1
2023/10/26,15:34:12,44,1
2023/10/26,15:34:09,43,1
2023/10/26,15:34:08,44,0.5
2023/10/26,15:34:06,43,0.5
2023/10/26,15:34:05,42,0.5
2023/10/26,15:34:04,41,0.5
2023/10/26,15:34:04,46,0.5
2023/10/26,15:34:04,31,0.5
2023/10/26,15:34:03,43,1
2023/10/26,15:34:00,31,1
2023/10/26,15:33:59,46,1
2023/10/26,15:33:58,41,1
2023/10/26,15:33:57,43,0.5
2023/10/26,15:33:56,42,1
2023/10/26,15:33:53,46,0.5
2023/10/26,15:33:51,106,0.5
2023/10/26,15:33:50,46,1
2023/10/26,15:33:47,44,1
2023/10/26,15:33:45,42,0.5
2023/10/26,15:33:44,46,0.5
2023/10/26,15:33:43,44,0.5
2023/10/26,15:33:41,42,1
2023/10/26,15:33:41,104,1
2023/10/26,15:33:40,46,1
2023/10/26,15:33:40,45,0.5
2023/10/26,15:33:39,44,1
2023/10/26,15:33:37,43,1
2023/10/26,15:33:18,104,0.5
2023/10/26,15:33:10,43,0.5
2023/10/26,15:33:07,106,1
2023/10/26,15:33:06,44,0.5
2023/10/26,15:33:06,45,1
2023/10/26,15:33:06,46,0.5
2023/10/26,15:33:05,42,0.5
2023/10/26,15:33:05,41,0.5
2023/10/26,15:33:03,44,1
2023/10/26,15:33:02,43,1
2023/10/26,15:32:58,46,1
2023/10/26,15:32:58,43,0.5
2023/10/26,15:32:57,41,1
2023/10/26,15:32:57,44,0.5
2023/10/26,15:32:56,42,1
2023/10/26,15:32:54,44,1
2023/10/26,15:32:53,42,0.5
2023/10/26,15:32:52,41,0.5
2023/10/26,15:32:51,43,1
2023/10/26,15:32:50,41,1
2023/10/26,15:32:50,44,0.5
2023/10/26,15:32:49,43,0.5
2023/10/26,15:32:49,105,0.5
2023/10/26,15:32:48,46,0.5
2023/10/26,15:32:48,42,1
2023/10/26,15:32:44,42,0.5
2023/10/26,15:32:44,46,1
2023/10/26,15:32:43,43,1
2023/10/26,15:32:41,43,0.5
2023/10/26,15:32:41,42,1
2023/10/26,15:32:39,104,1
2023/10/26,15:32:39,51,0.5
2023/10/26,15:32:38,44,1
2023/10/26,15:32:19,43,1
2023/10/26,15:32:17,43,0.5
2023/10/26,15:32:13,43,1
2023/10/26,15:32:13,104,0.5
2023/10/26,15:32:11,43,0.5
2023/10/26,15:32:08,43,1
2023/10/26,15:32:05,43,0.5
2023/10/26,15:32:01,44,0.5
2023/10/26,15:31:58,44,1
2023/10/26,15:31:56,105,1
2023/10/26,15:31:56,42,0.5
2023/10/26,15:31:55,51,1
2023/10/26,15:31:53,44,0.5
2023/10/26,15:31:52,42,1
2023/10/26,15:31:49,46,0.5
2023/10/26,15:31:46,46,1
2023/10/26,15:31:45,42,0.5
2023/10/26,15:31:45,41,0.5
2023/10/26,15:31:44,43,1
2023/10/26,15:31:42,42,1
2023/10/26,15:31:41,43,0.5
2023/10/26,15:31:41,41,1
2023/10/26,15:31:39,103,0.5
2023/10/26,15:31:37,42,0.5
2023/10/26,15:31:35,46,0.5
2023/10/26,15:31:35,43,1
2023/10/26,15:31:35,44,1
2023/10/26,15:31:34,41,0.5
2023/10/26,15:31:32,3,0.5
2023/10/26,15:31:32,27,0.5
2023/10/26,15:31:32,46,1
2023/10/26,15:31:31,104,1
2023/10/26,15:31:31,21,0.5
2023/10/26,15:31:31,42,1
2023/10/26,15:31:29,3,1
2023/10/26,15:31:28,22,0.5
2023/10/26,15:31:27,27,1
2023/10/26,15:31:26,23,0.5
2023/10/26,15:31:25,24,0.5
2023/10/26,15:31:25,41,1
2023/10/26,15:31:23,21,1
2023/10/26,15:31:22,22,1
2023/10/26,15:31:21,23,1
2023/10/26,15:31:20,24,1
2023/10/26,15:31:17,24,0.5
2023/10/26,15:31:17,23,0.5
2023/10/26,15:31:16,22,0.5
2023/10/26,15:31:14,24,1
2023/10/26,15:31:13,23,1
2023/10/26,15:31:12,22,1
2023/10/26,15:31:10,24,0.5
2023/10/26,15:31:08,24,1
2023/10/26,15:31:08,24,0.5
2023/10/26,15:31:03,101,0.5
2023/10/26,15:31:02,102,0.5
2023/10/26,15:30:58,24,1
2023/10/26,15:30:56,24,0.5
2023/10/26,15:30:53,24,1
2023/10/26,15:30:52,21,0.5
2023/10/26,15:30:51,27,0.5
2023/10/26,15:30:50,103,1
2023/10/26,15:30:50,21,1
2023/10/26,15:30:49,3,0.5
2023/10/26,15:30:47,2,0.5
2023/10/26,15:30:46,11,0.5
2023/10/26,15:30:46,27,1
2023/10/26,15:30:44,3,1
2023/10/26,15:30:44,2,1
2023/10/26,15:30:37,12,0.5
2023/10/26,15:30:31,12,1
2023/10/26,15:30:27,100,0.5
2023/10/26,15:30:21,12,0.5
2023/10/26,15:30:19,101,1
2023/10/26,15:30:19,12,1
2023/10/26,15:30:18,2,0.5
2023/10/26,15:30:17,3,0.5
2023/10/26,15:30:17,11,1
2023/10/26,15:30:16,102,1
2023/10/26,15:30:13,1,0.5
2023/10/26,15:30:12,2,1
2023/10/26,15:30:12,3,1
2023/10/26,15:30:08,100,1
2023/10/26,15:30:05,1,1
2023/10/26,15:29:49,100,0.5
2023/10/26,15:29:42,1,0.5
2023/10/26,15:29:33,103,0.5
2023/10/26,15:29:27,2,0.5
2023/10/26,15:29:26,3,0.5
2023/10/26,15:29:25,1,1
2023/10/26,15:29:25,41,0.5
2023/10/26,15:29:24,100,1
2023/10/26,15:29:23,27,0.5
2023/10/26,15:29:22,2,1
2023/10/26,15:29:22,22,0.5
2023/10/26,15:29:20,21,0.5
2023/10/26,15:29:20,3,1
2023/10/26,15:29:19,25,0.5
2023/10/26,15:29:18,27,1
2023/10/26,15:29:18,41,1
2023/10/26,15:29:18,24,0.5
2023/10/26,15:29:18,23,0.5
2023/10/26,15:29:15,25,1
2023/10/26,15:29:15,22,1
2023/10/26,15:29:12,25,0.5
2023/10/26,15:29:02,22,0.5
2023/10/26,15:29:01,41,0.5
2023/10/26,15:28:59,24,1
2023/10/26,15:28:57,41,1
2023/10/26,15:28:57,22,1
2023/10/26,15:28:56,21,1
2023/10/26,15:28:53,22,0.5
2023/10/26,15:28:50,25,1
2023/10/26,15:28:50,41,0.5
2023/10/26,15:28:49,21,0.5
2023/10/26,15:28:48,41,1
2023/10/26,15:28:48,25,0.5
2023/10/26,15:28:47,21,1
2023/10/26,15:28:46,22,1
2023/10/26,15:28:45,104,0.5
2023/10/26,15:28:43,25,1
2023/10/26,15:28:41,25,0.5
2023/10/26,15:28:39,22,0.5
2023/10/26,15:28:38,21,0.5
2023/10/26,15:28:37,41,0.5
2023/10/26,15:28:36,25,1
2023/10/26,15:28:36,27,0.5
2023/10/26,15:28:35,23,1
2023/10/26,15:28:35,21,1
2023/10/26,15:28:34,31,0.5
2023/10/26,15:28:34,22,1
2023/10/26,15:28:33,103,1
2023/10/26,15:28:33,3,0.5
2023/10/26,15:28:32,42,0.5
2023/10/26,15:28:31,27,1
2023/10/26,15:28:28,3,1
2023/10/26,15:28:28,31,1
2023/10/26,15:28:27,43,0.5
2023/10/26,15:28:26,44,0.5
2023/10/26,15:28:26,41,1
2023/10/26,15:28:25,42,1
2023/10/26,15:28:20,42,0.5
2023/10/26,15:28:19,41,0.5
2023/10/26,15:28:18,44,1
2023/10/26,15:28:18,43,1
2023/10/26,15:28:16,46,0.5
2023/10/26,15:28:16,41,1
2023/10/26,15:28:16,43,0.5
2023/10/26,15:28:15,44,0.5
2023/10/26,15:28:13,42,1
2023/10/26,15:28:12,46,1
2023/10/26,15:28:11,43,1
2023/10/26,15:28:10,42,0.5
2023/10/26,15:28:08,44,1
2023/10/26,15:28:06,46,0.5
2023/10/26,15:28:03,43,0.5
2023/10/26,15:28:03,46,1
2023/10/26,15:28:02,42,1
2023/10/26,15:28:00,46,0.5
2023/10/26,15:27:59,42,0.5
2023/10/26,15:27:58,106,0.5
2023/10/26,15:27:58,51,0.5
2023/10/26,15:27:56,42,1
2023/10/26,15:27:53,46,1
2023/10/26,15:27:49,104,1
2023/10/26,15:27:47,45,0.5
2023/10/26,15:27:46,43,1
2023/10/26,15:27:29,104,0.5
2023/10/26,15:27:22,43,0.5
2023/10/26,15:27:20,106,1
2023/10/26,15:27:20,51,1
2023/10/26,15:27:20,45,1
2023/10/26,15:27:19,42,0.5
2023/10/26,15:27:17,43,1
2023/10/26,15:27:17,46,0.5
2023/10/26,15:27:16,44,0.5
2023/10/26,15:27:15,44,1
2023/10/26,15:27:12,46,1
2023/10/26,15:27:11,44,0.5
2023/10/26,15:27:08,42,1
2023/10/26,15:27:08,43,0.5
2023/10/26,15:27:03,3,0.5
2023/10/26,15:27:02,31,0.5
2023/10/26,15:27:01,46,0.5
2023/10/26,15:27:00,3,1
2023/10/26,15:26:58,46,1
2023/10/26,15:26:57,31,1
2023/10/26,15:26:53,105,0.5
2023/10/26,15:26:52,46,0.5
2023/10/26,15:26:49,46,1
2023/10/26,15:26:49,43,1
2023/10/26,15:26:46,43,0.5
2023/10/26,15:26:44,104,1
2023/10/26,15:26:43,44,1
